0.05,0.01,0.01,0.005,0.005,0.005,0.005
0.15,0.052,0.047,0.034,0.026,0.018,0.006
0.25,0.085,0.072,0.054,0.039,0.029,0.012
0.35,0.118,0.103,0.08,0.059,0.038,0.019
0.45,0.155,0.134,0.098,0.072,0.049,0.02
0.55,0.191,0.157,0.121,0.093,0.059,0.026
0.65,0.226,0.188,0.136,0.105,0.07,0.031
0.75,0.258,0.214,0.16,0.121,0.077,0.036
0.85,0.293,0.242,0.185,0.137,0.09,0.041
0.95,0.325,0.268,0.201,0.154,0.098,0.041
1.05,0.358,0.298,0.232,0.17,0.103,0.047
1.15,0.394,0.33,0.247,0.186,0.114,0.051
1.25,0.427,0.353,0.268,0.206,0.123,0.054
1.35,0.461,0.378,0.288,0.216,0.129,0.057
1.45,0.492,0.41,0.312,0.232,0.139,0.062
1.55,0.525,0.435,0.332,0.25,0.149,0.064
1.65,0.557,0.458,0.353,0.265,0.16,0.07
1.75,0.59,0.49,0.373,0.281,0.165,0.072
1.85,0.618,0.512,0.394,0.296,0.18,0.077
1.95,0.646,0.544,0.412,0.314,0.188,0.082
2.05,0.68,0.564,0.436,0.33,0.198,0.088
2.15,0.706,0.589,0.453,0.342,0.204,0.087
2.25,0.733,0.616,0.474,0.361,0.214,0.093
2.35,0.76,0.636,0.494,0.376,0.224,0.098
2.45,0.304,0.662,0.51,0.391,0.234,0.103
2.55,0.005,0.68,0.536,0.407,0.242,0.103
2.65,0,0.579,0.551,0.422,0.25,0.108
2.75,-0.01,-0.005,0.569,0.436,0.26,0.114
