0,0.12,0.09,0.04,0.21
0.1,0.03,0.06,0.16,0.2
0.2,0.1,0.15,0.13,0.16
0.3,0.08,0.05,0.12,0.17
0.4,0.08,0.1,0.11,0.22
0.5,0.07,0.11,0.13,0.12
0.6,0.09,0.05,0.13,0.23
0.7,0.04,0.13,0.09,0.18
0.8,0.11,0.07,0.14,0.16
0.9,0.04,0.08,0.1,0.21
1,0.09,0.11,0.16,0.14
1.1,0.09,0.07,0.07,0.16
1.2,0.06,0.1,0.15,0.21
1.3,0.1,0.11,0.16,0.15
1.4,0.06,0.05,0.06,0.21
1.5,0.04,0.13,0.19,0.15
1.6,0.11,0.07,0.06,0.21
1.7,0.1,0.08,0.16,0.15
1.8,0.05,0.13,0.12,0.16
1.9,0.06,0.05,0.1,0.2
2,0.09,0.11,0.16,0.19
2.1,0.06,0.07,0.1,0.14
2.2,0.1,0.11,0.14,0.19
2.3,0.05,0.09,0.09,0.15
2.4,0.11,0.09,0.13,0.16
2.5,0.04,0.1,0.11,0.2
2.6,0.09,0.07,0.12,0.1
2.7,0.07,0.08,0.13,0.18
2.8,0.07,0.11,0.11,0.16
2.9,0.09,0.1,0.12,0.13
3,0.07,0.07,0.11,0.15
3.1,0.08,0.11,0.1,0.13
